"","code","game_type","rival","pay_competitive","n"
"1","sujeto_0000621","competitive","1","1",8
"2","sujeto_0000621","competitive","1","2",8
"3","sujeto_0000621","competitive","1","3",8
"4","sujeto_0000621","competitive","1","4",8
"5","sujeto_0000621","competitive","2","1",8
"6","sujeto_0000621","competitive","2","2",8
"7","sujeto_0000621","competitive","2","3",8
"8","sujeto_0000621","competitive","2","4",8
"9","sujeto_0000621","competitive","3","1",8
"10","sujeto_0000621","competitive","3","2",8
"11","sujeto_0000621","competitive","3","3",8
"12","sujeto_0000621","competitive","3","4",8
"13","sujeto_0000621","competitive","4","1",8
"14","sujeto_0000621","competitive","4","2",6
"15","sujeto_0000621","competitive","4","3",8
"16","sujeto_0000621","competitive","4","4",8
"17","sujeto_0000621","individual","4","2",2
"18","sujeto_0005719","competitive","1","1",1
"19","sujeto_0005719","competitive","1","2",8
"20","sujeto_0005719","competitive","1","3",8
"21","sujeto_0005719","competitive","1","4",7
"22","sujeto_0005719","competitive","2","1",1
"23","sujeto_0005719","competitive","2","2",8
"24","sujeto_0005719","competitive","2","3",8
"25","sujeto_0005719","competitive","2","4",8
"26","sujeto_0005719","competitive","3","1",2
"27","sujeto_0005719","competitive","3","2",7
"28","sujeto_0005719","competitive","3","3",8
"29","sujeto_0005719","competitive","3","4",8
"30","sujeto_0005719","competitive","4","1",2
"31","sujeto_0005719","competitive","4","2",8
"32","sujeto_0005719","competitive","4","3",8
"33","sujeto_0005719","competitive","4","4",8
"34","sujeto_0005719","individual","1","1",7
"35","sujeto_0005719","individual","1","4",1
"36","sujeto_0005719","individual","2","1",7
"37","sujeto_0005719","individual","3","1",6
"38","sujeto_0005719","individual","3","2",1
"39","sujeto_0005719","individual","4","1",6
"40","sujeto_0006562","competitive","1","1",6
"41","sujeto_0006562","competitive","1","2",8
"42","sujeto_0006562","competitive","1","3",7
"43","sujeto_0006562","competitive","1","4",7
"44","sujeto_0006562","competitive","2","1",7
"45","sujeto_0006562","competitive","2","2",8
"46","sujeto_0006562","competitive","2","3",8
"47","sujeto_0006562","competitive","2","4",8
"48","sujeto_0006562","competitive","3","1",7
"49","sujeto_0006562","competitive","3","2",7
"50","sujeto_0006562","competitive","3","3",8
"51","sujeto_0006562","competitive","3","4",8
"52","sujeto_0006562","competitive","4","1",7
"53","sujeto_0006562","competitive","4","2",8
"54","sujeto_0006562","competitive","4","3",8
"55","sujeto_0006562","competitive","4","4",8
"56","sujeto_0006562","individual","1","1",2
"57","sujeto_0006562","individual","1","3",1
"58","sujeto_0006562","individual","1","4",1
"59","sujeto_0006562","individual","2","1",1
"60","sujeto_0006562","individual","3","1",1
"61","sujeto_0006562","individual","3","2",1
"62","sujeto_0006562","individual","4","1",1
"63","sujeto_0011813","competitive","1","1",8
"64","sujeto_0011813","competitive","1","2",8
"65","sujeto_0011813","competitive","1","3",8
"66","sujeto_0011813","competitive","1","4",8
"67","sujeto_0011813","competitive","2","1",7
"68","sujeto_0011813","competitive","2","2",8
"69","sujeto_0011813","competitive","2","3",8
"70","sujeto_0011813","competitive","2","4",8
"71","sujeto_0011813","competitive","3","1",8
"72","sujeto_0011813","competitive","3","2",7
"73","sujeto_0011813","competitive","3","3",7
"74","sujeto_0011813","competitive","3","4",7
"75","sujeto_0011813","competitive","4","1",4
"76","sujeto_0011813","competitive","4","2",2
"77","sujeto_0011813","competitive","4","3",4
"78","sujeto_0011813","competitive","4","4",4
"79","sujeto_0011813","individual","2","1",1
"80","sujeto_0011813","individual","3","2",1
"81","sujeto_0011813","individual","3","3",1
"82","sujeto_0011813","individual","3","4",1
"83","sujeto_0011813","individual","4","1",4
"84","sujeto_0011813","individual","4","2",6
"85","sujeto_0011813","individual","4","3",4
"86","sujeto_0011813","individual","4","4",4
"87","sujeto_0012643","competitive","1","1",8
"88","sujeto_0012643","competitive","1","2",8
"89","sujeto_0012643","competitive","1","3",8
"90","sujeto_0012643","competitive","1","4",8
"91","sujeto_0012643","competitive","2","1",8
"92","sujeto_0012643","competitive","2","2",8
"93","sujeto_0012643","competitive","2","3",8
"94","sujeto_0012643","competitive","2","4",8
"95","sujeto_0012643","competitive","3","1",8
"96","sujeto_0012643","competitive","3","2",8
"97","sujeto_0012643","competitive","3","3",8
"98","sujeto_0012643","competitive","3","4",8
"99","sujeto_0012643","competitive","4","1",8
"100","sujeto_0012643","competitive","4","2",8
"101","sujeto_0012643","competitive","4","3",8
"102","sujeto_0012643","competitive","4","4",8
"103","sujeto_0014011","competitive","1","1",3
"104","sujeto_0014011","competitive","1","2",8
"105","sujeto_0014011","competitive","1","3",8
"106","sujeto_0014011","competitive","1","4",8
"107","sujeto_0014011","competitive","2","1",5
"108","sujeto_0014011","competitive","2","2",8
"109","sujeto_0014011","competitive","2","3",8
"110","sujeto_0014011","competitive","2","4",8
"111","sujeto_0014011","competitive","3","1",4
"112","sujeto_0014011","competitive","3","2",8
"113","sujeto_0014011","competitive","3","3",8
"114","sujeto_0014011","competitive","3","4",8
"115","sujeto_0014011","competitive","4","1",3
"116","sujeto_0014011","competitive","4","2",8
"117","sujeto_0014011","competitive","4","3",8
"118","sujeto_0014011","competitive","4","4",8
"119","sujeto_0014011","individual","1","1",5
"120","sujeto_0014011","individual","2","1",3
"121","sujeto_0014011","individual","3","1",4
"122","sujeto_0014011","individual","4","1",5
"123","sujeto_0014895","competitive","1","2",8
"124","sujeto_0014895","competitive","1","3",8
"125","sujeto_0014895","competitive","1","4",8
"126","sujeto_0014895","competitive","2","2",8
